record_id,txn_ref,amount,date,narration
lg_pay_fe8b85ffa2,pay_fe8b85ffa2,1107.63,2026-08-23T00:00:00,Order #92719 - Retail
lg_pay_18c9cfafb1,pay_18c9cfafb1,34214.85,2026-08-22T00:00:00,Order #95180 - B2B Invoice
lg_pay_9e3a708d7f,pay_9e3a708d7f,31088.7,2026-08-05T00:00:00,Order #76784 - Marketplace
lg_pay_92ca49aa66,pay_92ca49aa66,21033.27,2026-08-16T00:00:00,Order #63354 - Subscription
lg_pay_b27899a044,pay_b27899a044,4774.71,2026-08-18T00:00:00,Order #11934 - Retail
lg_pay_64a3c291d2,pay_64a3c291d2,21448.02,2026-08-03T00:00:00,Order #54313 - Retail
lg_pay_e44b315d79,pay_e44b315d79,54531.56,2026-08-01T00:00:00,Order #46048 - Subscription
lg_pay_e91822c3e5,pay_e91822c3e5,32620.67,2026-08-15T00:00:00,Order #93320 - B2B Invoice
lg_pay_9ef12acae2,pay_9ef12acae2,36292.39,2026-08-15T00:00:00,Order #17100 - Retail
lg_pay_42c112a1c5,pay_42c112a1c5,18603.01,2026-08-05T00:00:00,Order #84847 - Marketplace
lg_pay_bef3334e7b,pay_bef3334e7b,51514.85,2026-08-26T00:00:00,Order #15695 - Marketplace
lg_pay_cbf27ada09,pay_cbf27ada09,65824.27,2026-08-03T00:00:00,Order #40512 - Retail
lg_pay_75243440d8,pay_75243440d8,8181.85,2026-08-02T00:00:00,Order #24371 - Subscription
lg_pay_dab0608439,pay_dab0608439,43946.19,2026-08-09T00:00:00,Order #97684 - Marketplace
lg_pay_0f4a10c906,pay_0f4a10c906,21511.46,2026-08-07T00:00:00,Order #80292 - Marketplace
lg_pay_567dfb860e,pay_567dfb860e,81988.67,2026-08-18T00:00:00,Order #36365 - B2B Invoice
lg_pay_ae03fea626,pay_ae03fea626,23124.1,2026-08-07T00:00:00,Order #84341 - B2B Invoice
lg_pay_38ecae2919,pay_38ecae2919,21608.64,2026-08-03T00:00:00,Order #68082 - Retail
lg_pay_a6093e426c,pay_a6093e426c,45210.16,2026-08-18T00:00:00,Order #11504 - Retail
lg_pay_244d77c4f6,pay_244d77c4f6,11349.08,2026-08-16T00:00:00,Order #82063 - Subscription
lg_pay_557d734510,pay_557d734510,23980.13,2026-08-07T00:00:00,Order #54118 - Retail
lg_pay_47300e5b5e,pay_47300e5b5e,50396.62,2026-08-02T00:00:00,Order #13905 - Retail
lg_pay_58ba15b72f,pay_58ba15b72f,19845.58,2026-08-02T00:00:00,Order #53309 - Retail
lg_pay_33284854e2,pay_33284854e2,62346.19,2026-08-27T00:00:00,Order #19071 - Subscription
lg_pay_9e866432bf,pay_9e866432bf,60036.32,2026-08-02T00:00:00,Order #96673 - Subscription
lg_pay_ad9316f380,pay_ad9316f380,51971.57,2026-08-06T00:00:00,Order #80010 - Subscription
lg_pay_0437e55e5e,pay_0437e55e5e,8337.02,2026-08-04T00:00:00,Order #57052 - B2B Invoice
lg_pay_b716b090f0,pay_b716b090f0,19361.31,2026-08-24T00:00:00,Order #23434 - Retail
lg_pay_75a7224725,pay_75a7224725,18466.94,2026-08-16T00:00:00,Order #61856 - Marketplace
lg_pay_df80b3f736,pay_df80b3f736,51110.82,2026-08-16T00:00:00,Order #12552 - Retail
lg_pay_4694da19bd,pay_4694da19bd,50212.09,2026-08-08T00:00:00,Order #87128 - Subscription
lg_pay_8622007b5f,pay_8622007b5f,53519.19,2026-08-26T00:00:00,Order #99192 - Marketplace
lg_pay_c3a58c72d0,pay_c3a58c72d0,71621.06,2026-08-17T00:00:00,Order #89818 - Subscription
lg_pay_9789fe88e6,pay_9789fe88e6,37519.46,2026-08-17T00:00:00,Order #69177 - Retail
lg_pay_59225328b0,pay_59225328b0,63622.67,2026-08-14T00:00:00,Order #86484 - Marketplace
lg_pay_ca8cfe2df6,pay_ca8cfe2df6,14307.51,2026-08-13T00:00:00,Order #45382 - Subscription
lg_pay_a119d0cba7,pay_a119d0cba7,8470.53,2026-08-22T00:00:00,Order #66498 - B2B Invoice
